@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute classification {0,1,2,3,4,5}
@attribute regression numeric

@data
446,'2017/02/12 13:20:01:236',2,-327.49469,-129.052399,1425.307251,151.649094,-201.177628,1666.842896,-90.838982,466.491882,1593.716797,3,?
447,'2017/02/12 13:20:01:269',2,-324.830597,-126.71991,1425.527588,155.201614,-200.734177,1663.824829,-85.534119,464.685974,1589.513184,3,?
448,'2017/02/12 13:20:01:303',2,-320.256348,-121.017578,1434.338135,158.859589,-202.865173,1661.386719,-79.484924,459.694977,1583.938599,3,?
449,'2017/02/12 13:20:01:336',2,-313.528687,-130.029083,1453.217285,165.566971,-202.237015,1658.720093,-72.520569,462.051392,1580.647705,3,?
450,'2017/02/12 13:20:01:370',2,-307.525299,-139.94574,1475.225952,172.389938,-203.105881,1654.271118,-64.620186,459.858215,1578.015503,3,?
451,'2017/02/12 13:20:01:403',2,-302.399384,-148.931473,1502.135986,176.13269,-207.188644,1648.731323,-59.092175,460.211304,1577.671387,3,?
452,'2017/02/12 13:20:01:436',2,-298.846954,-158.995758,1534.269653,182.166962,-209.23024,1643.504639,-48.712685,456.762878,1578.048462,3,?
453,'2017/02/12 13:20:01:470',2,-292.488892,-164.136246,1572.953857,184.220657,-210.154541,1638.505737,-38.739532,453.375854,1576.683105,3,?
454,'2017/02/12 13:20:01:504',2,-284.527344,-169.203644,1611.316162,192.90979,-210.862762,1635.27356,-29.418385,452.314758,1577.03894,3,?
455,'2017/02/12 13:20:01:536',2,-275.880859,-168.479218,1648.105347,199.229507,-211.627487,1636.240845,-25.589266,446.609711,1580.163452,3,?
456,'2017/02/12 13:20:01:571',2,-270.420166,-175.857895,1679.521362,208.584579,-211.379059,1639.381348,-21.099638,440.766724,1588.732056,3,?
457,'2017/02/12 13:20:01:604',2,-268.20163,-179.981308,1714.503418,217.250366,-214.27594,1645.993652,-19.719355,440.443359,1598.505127,3,?
458,'2017/02/12 13:20:01:636',2,-268.688568,-181.667679,1741.986328,223.206406,-217.909653,1660.335449,-16.617502,439.773224,1611.442383,3,?
459,'2017/02/12 13:20:01:671',2,-271.248718,-182.102722,1763.799561,222.471786,-219.938309,1677.911255,-17.29384,439.322693,1623.912476,3,?
460,'2017/02/12 13:20:01:703',2,-274.992981,-182.66954,1781.072021,217.882538,-226.716003,1702.240601,-17.647671,436.741577,1641.627441,3,?
461,'2017/02/12 13:20:01:736',2,-279.38855,-184.95697,1792.796021,216.998383,-233.120422,1728.568115,-17.977253,435.277496,1660.487915,3,?
462,'2017/02/12 13:20:01:771',2,-286.718689,-185.115463,1800.222168,215.389252,-240.164795,1756.411011,-21.690895,435.122253,1681.410278,3,?
463,'2017/02/12 13:20:01:773',2,-286.718689,-185.115463,1800.222168,215.389252,-240.164795,1756.411011,-21.690895,435.122253,1681.410278,3,?
464,'2017/02/12 13:20:01:803',2,-286.718689,-185.115463,1800.222168,215.389252,-240.164795,1756.411011,-21.690895,435.122253,1681.410278,3,?
465,'2017/02/12 13:20:01:836',2,-291.242767,-185.21608,1803.941895,209.07048,-242.169647,1784.342896,-26.391823,431.748596,1699.365845,3,?
466,'2017/02/12 13:20:01:871',2,-301.436035,-209.405685,1794.192017,192.961548,-255.892761,1842.794556,-37.859871,427.348877,1748.588257,3,?
467,'2017/02/12 13:20:01:903',2,-307.236603,-215.226151,1787.528687,187.305603,-260.786011,1876.757202,-47.329086,421.589478,1773.464478,3,?
468,'2017/02/12 13:20:01:936',2,-312.770264,-217.169632,1781.317627,175.177246,-267.365326,1908.23645,-56.17728,415.689819,1794.390991,3,?
469,'2017/02/12 13:20:01:970',2,-314.962708,-217.998444,1774.858643,167.050354,-271.707764,1938.219116,-67.124069,409.07962,1818.80957,3,?
470,'2017/02/12 13:20:02:003',2,-319.129578,-216.047485,1776.6875,159.893616,-261.502472,1974.539551,-79.796249,407.41333,1848.553955,3,?
471,'2017/02/12 13:20:02:036',2,-325.125183,-209.590454,1781.853149,150.948212,-260.317078,2009.53064,-92.344788,403.346558,1878.442261,3,?
472,'2017/02/12 13:20:02:070',2,-331.988953,-206.340027,1797.135742,140.515976,-268.106384,2035.180176,-103.45575,404.73349,1897.333496,3,?
473,'2017/02/12 13:20:02:103',2,-337.982727,-205.333664,1819.266968,135.57341,-270.93219,2070.275635,-113.599777,403.520569,1923.299927,3,?
474,'2017/02/12 13:20:02:136',2,-348.851501,-194.257919,1851.10437,126.911087,-269.864014,2100.314941,-122.699989,406.478088,1945.254395,3,?
475,'2017/02/12 13:20:02:170',2,-356.5896,-203.262039,1878.405884,123.285156,-263.206146,2125.937988,-131.828979,408.771973,1967.218872,3,?
476,'2017/02/12 13:20:02:203',2,-366.347504,-212.496552,1913.732788,119.816071,-256.126526,2153.233887,-142.033859,412.344391,1988.701416,3,?
477,'2017/02/12 13:20:02:238',2,-371.882324,-223.399918,1959.778687,118.617737,-251.394104,2169.914307,-150.248062,418.868103,2009.505859,3,?
